Date,DAI-USD,BUSD-USD,TUSD-USD,USDC-USD,USDT-USD
11/22/19,0.992598,1.001011,1.002206,1.001247,1.003045
11/23/19,1.016282,1.010858,1.011321,1.011744,1.01313
11/24/19,1.00227,1.018518,1.017851,1.008879,1.017519
11/25/19,1.007021,1.00198,1.003634,1.000393,1.003114
11/26/19,1.006096,1.008688,1.009488,1.007935,1.009773
11/27/19,0.997034,1.003363,1.005104,1.007488,1.005027
11/28/19,1.004738,1.003727,1.003321,1.006755,1.00408
11/29/19,1.004759,1.003209,1.001976,1.00305,1.004521
11/30/19,1.005228,1.00144,0.999882,0.997658,1.001703
12/1/19,1.00104,1.00116,1.000877,0.99645,1.002481
12/2/19,0.997916,1.000965,0.998138,0.998794,1.001681
12/3/19,1.003919,1.002154,0.998867,1.002146,1.003135
12/4/19,1.00445,1.007963,1.003288,1.004955,1.007939
12/5/19,1.008205,1.008152,1.008388,1.008945,1.010072
12/6/19,1.001905,1.002311,1.002975,1.003251,1.003428
12/7/19,1.005785,1.006467,1.006584,1.006559,1.007412
12/8/19,1.003661,1.005123,1.005311,1.00547,1.006376
12/9/19,1.006436,1.005387,1.00461,1.005754,1.004253
12/10/19,1.003851,1.006011,1.005375,1.006341,1.005855
12/11/19,1.00303,1.002728,1.001441,1.00077,1.011923
12/12/19,1.005456,1.007153,1.005648,1.006966,1.005837
12/13/19,1.003854,1.002407,1.001802,1.003056,1.001751
12/14/19,1.007594,1.007912,1.005436,1.006866,1.006088
12/15/19,1.003221,1.005836,1.004263,1.005689,1.004616
12/16/19,1.006222,1.006196,1.003848,1.003617,1.003986
12/17/19,1.000816,1.000383,1.003626,0.998726,0.993339
12/18/19,1.001963,1.002982,1.001406,1.009051,1.006128
12/19/19,1.007567,1.008747,1.00651,1.009815,1.008569
12/20/19,1.003855,1.005221,1.00343,1.005709,1.005842
12/21/19,1.005012,1.007217,1.004896,1.007746,1.005758
12/22/19,0.999937,1.001737,1.000731,1.002088,1.003887
12/23/19,0.997308,1.003539,1.002821,1.000583,1.012136
12/24/19,1.010182,1.009444,1.01113,1.010236,1.008587
12/25/19,1.010641,1.011583,1.012032,1.012936,1.004661
12/26/19,1.00438,1.005505,1.003411,1.005048,1.003988
12/27/19,1.008269,1.006871,1.006126,1.008644,1.005803
12/28/19,1.006781,1.002121,1.002423,1.002402,1.000307
12/29/19,1.003944,1.004819,1.005799,1.005283,1.00421
12/30/19,1.007196,1.009295,1.008943,1.009358,1.006175
12/31/19,0.998045,1.003195,1.002599,1.00373,0.999679
1/1/20,1.000243,1.003361,1.002077,1.004079,0.999836
1/2/20,0.997823,1.002926,1.000522,1.005017,1.001565
1/3/20,1.002185,1.004717,1.006687,1.005273,1.004192
1/4/20,1.007795,1.008474,1.010395,1.009466,1.007472
1/5/20,1.007635,1.008208,1.009585,1.008497,1.006197
1/6/20,1.003022,1.001591,1.005699,1.003119,1.002903
1/7/20,0.996011,1.000728,1.00345,0.9995,1.001723
1/8/20,1.005968,1.005744,1.006771,1.004603,1.004253
1/9/20,1.005149,1.00746,1.008133,1.007031,1.006573
1/10/20,1.002167,1.000153,1.000957,1.000822,1.001462
1/11/20,1.002446,1.002008,1.004008,1.002529,1.000091
1/12/20,1.001692,1.00293,1.005828,1.004318,1.002478
1/13/20,1.001173,1.003926,1.006006,1.004319,1.003347
1/14/20,1.001737,1.002014,1.004767,1.002371,1.001821
1/15/20,0.995719,1.000122,1.00199,1.001165,0.999656
1/16/20,0.984807,1.000638,1.001559,1.002668,0.999231
1/17/20,1.003014,1.003873,1.004248,1.004523,1.002879
1/18/20,1.001827,1.002851,1.002919,1.00532,1.002741
1/19/20,0.985941,1.000311,1.0015,0.99729,0.998535
1/20/20,0.991633,1.002388,1.000694,1.000803,1.000688
1/21/20,0.999183,1.002738,1.000202,1.002642,1.001418
1/22/20,0.995976,1.003336,1.000549,1.001615,1.000595
